name,address,latitude,longitude
McDonald's Bukit Bintang,"120-120A Jalan Bukit Bintang, 55100, , Kuala Lumpur, Malaysia",3.146789,101.710983
McDonald's Jalan Silang,"55 & 57, Jalan Tun Tan Siew Sin, 50050, , Kuala Lumpur, Malaysia",3.146058,101.698461
McDonald's Holiday Plaza,"Lg 8 Holiday Plaza, Jalan Dato' Sulaiman, 80250, Johor Bahru, Johor, Malaysia",1.488308,103.760497
McDonald's Bangsar,"48 Jalan Telawi Lima, 59100, Bangsar Baru, Kuala Lumpur, Malaysia",3.132973,101.672323
McDonald's O.U.G. PLAZA,"Part of G 03-G 06, Ground Floor, Plaza O.U.G., Jalan Klang Lama, 58000, , Kuala Lumpur, Malaysia",3.081738,101.671652
McDonald's SS 2 ,"No. 56 Jalan SS 2/61, 47300, Petaling Jaya, Selangor, Malaysia",3.118286,101.62045
McDonald's Kepong ,"No. 1 & 2 Jalan 54, Desa Jaya, 52100, Kepong, Selangor, Malaysia",3.213567,101.632778
McDonald's Subang Parade ,"LG 10 Subang Parade, No. 5 Jalan SS 16/1, 47500, Subang Jaya, Selangor, Malaysia",3.082161,101.585683
McDonald's Titiwangsa DT,"Lot 8 Section 85, Jalan Pahang, 53000, , Kuala Lumpur, Malaysia",3.179584,101.700331
McDonald's Ampang Park ,"GA 88 Ampang Park Shopping Complex, Jalan Ampang, 50450, , Kuala Lumpur, Malaysia",3.160358,101.719222
McDonald's Greenlane DT,"Lot 2506/7 Section 6, Jalan Masjid Negeri, 11600, Penang, Pulau Pinang, Malaysia",5.401292,100.304379
McDonald's Plaza Pelangi ,"Lot 1.19 Plaza Pelangi, Jalan Tebrau/Jalan Kuning, 80400, Johor Bahru, Johor, Malaysia",1.479908,103.765056
McDonald's Alpha Angle ,"Lot G-13, Ground Floor, Alpha Angle Complex, Jalan R1, Wangsa Maju, 53000, Setapak, Kuala Lumpur, Malaysia",3.202292,101.734067
McDonald's Kajang ,"27 & 28 Jalan Abdul Aziz, 43000, Kajang, Selangor, Malaysia",2.991097,101.791081
McDonald's Genting ,"Genting Highland Resort, 69000, Genting Highland, Pahang, Malaysia",3.424053,101.7934
McDonald's Kuching ,"2nd Floor, Lot 268 - 269, Jalan Tuanku Abdul Rahman, 93100, Kuching, Sarawak, Malaysia",1.55741,110.352988
McDonald's Mahkota Parade ,"Lot 6-21 Ground Floor, Mahkota Parade, Jalan Taman, 75000, , Melaka, Malaysia",2.188669,102.249702
